ProteinID,Gene,Description,parental_1 Intensity,parental_2 Intensity,parental_3 Intensity,SRB1_1 Intensity,SRB1_2 Intensity,SRB1_3 Intensity
P14635,CCNB1,G2/mitotic-specific cyclin-B1,28.1377,28.91,28.7535,26.4739,26.5682,26.5788
P14649,MYL6B,Myosin light chain 6B,26.664,27.0079,26.7998,25.9535,26.2311,26.183
P14678,SNRPB,Small nuclear ribonucleoprotein-associated proteins B and B',32.456,32.2485,32.4987,32.4239,32.6939,32.4158
P14735,IDE,Insulin-degrading enzyme,29.4834,29.4617,29.1196,28.6197,28.6665,28.4677
P14854,COX6B1,Cytochrome c oxidase subunit 6B1,34.5554,34.4436,34.1889,34.4811,34.4506,34.578
P14859,POU2F1,"POU domain, class 2, transcription factor 1",28.6671,28.7066,28.8056,27.258,27.6526,27.4624
P14866,HNRNPL,Heterogeneous nuclear ribonucleoprotein L,35.0838,35.013,35.0907,34.567,35.2911,35.1451
P14868,DARS,"Aspartate--tRNA ligase, cytoplasmic",32.5224,32.5257,33.033,31.7102,32.606,32.3055
P14923,JUP,Junction plakoglobin,30.4874,29.8607,30.6478,30.7113,30.9223,30.9631
P14927,UQCRB,Cytochrome b-c1 complex subunit 7,34.1009,34.0566,34.2119,34.297,34.1687,34.2548
P15104,GLUL,Glutamine synthetase,31.1004,30.9063,30.8807,26.4969,29.5743,29.4776
P15121,AKR1B1,Aldose reductase,31.794,31.9224,31.8807,29.6129,29.3759,29.6005
P15144,ANPEP,Aminopeptidase N,30.2025,30.038,30.1822,32.1838,32.8889,32.6699
P15151,PVR,Poliovirus receptor,29.5517,29.3081,29.1666,30.2688,30.3016,30.2746
P15170,GSPT1,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,33.1092,33.2668,33.1856,30.5809,30.8882,30.8442
P15260,IFNGR1,Interferon gamma receptor 1,23.6043,25.7911,24.5319,29.0842,29.4656,29.31
P15289,ARSA,Arylsulfatase A,25.0703,25.5303,26.5282,27.6617,27.1616,26.5854
P15291,B4GALT1,"Beta-1,4-galactosyltransferase 1",24.7887,24.7791,24.2492,26.5256,26.6252,25.9696
P15311,EZR,Ezrin,34.2522,34.3361,34.3305,32.5088,33.2766,33.1992
P15336,ATF2,Cyclic AMP-dependent transcription factor ATF-2,29.8665,29.9451,30.3932,30.0604,29.9828,30.4081
P15408,FOSL2,Fos-related antigen 2,27.825,27.3369,27.4365,24.1252,24.2233,25.0189
P15529,CD46,Membrane cofactor protein,25.7653,24.5984,25.5645,27.2616,26.9798,24.3396
P15531,NME1,Nucleoside diphosphate kinase A,32.8472,33.1525,33.4572,29.9898,30.9644,30.59
P15559,NQO1,NAD(P)H dehydrogenase [quinone] 1,34.8621,34.8268,34.9641,32.5374,32.7156,32.5417
P15586,GNS,N-acetylglucosamine-6-sulfatase,30.9465,30.6397,30.8304,30.8072,30.911,30.5791
P15848,ARSB,Arylsulfatase B,31.3538,31.4733,31.4274,31.0847,31.0237,30.3847
P15880,RPS2,40S ribosomal protein S2,34.9643,34.7914,34.6883,34.9821,34.9769,34.8438
P15907,ST6GAL1,"Beta-galactoside alpha-2,6-sialyltransferase 1",30.3738,29.6405,29.7562,30.6507,30.9855,30.7636
P15924,DSP,Desmoplakin,34.1554,34.4619,34.3484,31.9478,31.3636,30.8434
P15927,RPA2,Replication protein A 32 kDa subunit,28.7889,27.5422,27.7195,25.8141,27.1454,24.2356
P16083,NQO2,Ribosyldihydronicotinamide dehydrogenase [quinone],29.7336,30.3068,29.9859,31.0699,25.4542,25.8658
P16104,H2AFX,Histone H2AX,35.1706,35.0898,35.2767,34.96,35.2816,35.4417
P16144,ITGB4,Integrin beta-4,28.5107,28.8478,28.6294,24.579,23.4306,28.9542
P16152,CBR1,Carbonyl reductase [NADPH] 1,31.0271,31.2271,31.186,27.9022,28.9726,28.4643
P16219,ACADS,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",29.3909,28.3721,29.0865,30.4598,30.7469,30.1479
P16220,CREB1,Cyclic AMP-responsive element-binding protein 1,31.0194,29.946,30.8458,30.5932,30.5778,30.2874
P16278,GLB1,Beta-galactosidase,28.3386,29.3362,27.6504,27.5086,27.9833,28.4935
P16383,GCFC2,GC-rich sequence DNA-binding factor 2,26.3698,26.3449,25.5244,24.7949,24.3908,24.5068
P16401,HIST1H1B,Histone H1.5,34.1854,34.017,34.0387,33.8758,34.0868,34.1053
P16402,HIST1H1D,Histone H1.3,25.2155,25.7376,23.9128,24.4679,26.4232,26.2637
P16403,HIST1H1C,Histone H1.2,38.7691,38.6147,38.5353,38.5279,38.3602,38.5449
P16422,EPCAM,Epithelial cell adhesion molecule,30.6071,30.2153,30.0162,29.9685,30.5303,30.4075
P16591,FER,Tyrosine-protein kinase Fer,28.0821,28.4612,26.7899,25.0015,25.372,25.3247
P16615,ATP2A2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,33.1292,32.6718,32.8292,33.5299,33.7691,33.5201
P16662,UGT2B7,UDP-glucuronosyltransferase 2B7,28.1522,27.3198,28.0541,27.4272,28.2965,28.5435
P16870,CPE,Carboxypeptidase E,27.7935,28.264,28.9126,28.3857,28.3822,28.3603
P16930,FAH,Fumarylacetoacetase,31.4361,31.5596,31.6844,29.2701,29.3876,29.0393
P16949,STMN1,Stathmin,34.982,34.9665,35.0372,32.3459,32.5779,31.7898
P16989,YBX3,Y-box-binding protein 3,29.8081,29.7311,30.1885,29.4016,29.4117,29.4777
P17028,ZNF24,Zinc finger protein 24,28.8401,29.3992,29.6258,28.6927,28.8881,28.9965
P17050,NAGA,Alpha-N-acetylgalactosaminidase,25.3445,25.2487,25.095,25.3484,23.8169,24.0756
P17096,HMGA1,High mobility group protein HMG-I/HMG-Y,35.9747,35.7801,35.8367,35.6697,35.4717,35.7384
P17174,GOT1,"Aspartate aminotransferase, cytoplasmic",34.3386,34.533,34.5633,32.7329,32.8977,32.5609
P17252,PRKCA,Protein kinase C alpha type,26.6403,26.9748,26.7578,28.9245,26.3787,26.763
P17301,ITGA2,Integrin alpha-2,30.2828,30.364,30.1911,30.4592,30.4817,30.3692
P17480,UBTF,Nucleolar transcription factor 1,34.4483,33.9641,34.1712,34.0053,34.0573,34.1525
P17516,AKR1C4,Aldo-keto reductase family 1 member C4,29.2123,29.3976,29.3956,25.7968,26.1776,26.347
P17535,JUND,Transcription factor jun-D,28.6599,28.8381,28.652,29.1449,29.3737,29.3546
P17544,ATF7,Cyclic AMP-dependent transcription factor ATF-7,25.9257,24.0255,25.571,27.8987,26.5323,27.5945
P17568,NDUFB7,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,31.2713,30.8525,31.2869,31.3833,31.9829,31.5255
P17612,PRKACA,cAMP-dependent protein kinase catalytic subunit alpha,27.9778,28.3854,28.2741,29.8516,28.6411,27.2005
P17676,CEBPB,CCAAT/enhancer-binding protein beta,28.8437,30.0439,29.4482,29.8923,30.6591,30.4564
P17706,PTPN2,Tyrosine-protein phosphatase non-receptor type 2,27.7886,27.6646,27.2621,26.8386,26.9853,24.0425
P17812,CTPS1,CTP synthase 1,28.3892,28.6174,28.6591,24.8799,26.0938,26.3582
P17844,DDX5,Probable ATP-dependent RNA helicase DDX5,35.7479,35.6953,35.6093,36.0468,36.1263,36.1112
P17858,PFKL,"ATP-dependent 6-phosphofructokinase, liver type",32.0267,32.17,32.2372,28.0232,29.0688,28.4838
P17861,XBP1,X-box-binding protein 1,24.5568,23.5642,22.8825,25.8185,25.1787,25.1818
P17900,GM2A,Ganglioside GM2 activator,24.8174,23.0384,24.043,25.8797,26.4123,26.311
P17931,LGALS3,Galectin-3,34.6178,34.5325,34.5165,34.2773,34.2685,34.2794
P17980,PSMC3,26S proteasome regulatory subunit 6A,33.6789,33.5456,33.8885,32.7022,33.003,32.9199
P17987,TCP1,T-complex protein 1 subunit alpha,34.5668,34.5551,34.7434,33.7622,34.5481,34.1814
P18031,PTPN1,Tyrosine-protein phosphatase non-receptor type 1,31.0058,31.1334,31.0315,31.2256,31.3406,31.1685
P18074,ERCC2,General transcription and DNA repair factor IIH helicase subunit XPD,25.15,25.2967,24.9125,28.7678,28.6326,25.1287
P18077,RPL35A,60S ribosomal protein L35a,32.4205,32.2147,32.424,32.3787,32.1475,32.2938
P18084,ITGB5,Integrin beta-5,29.1305,30.13,29.4088,30.2749,30.1316,30.0824
P18085,ARF4,ADP-ribosylation factor 4,29.6312,29.8716,29.8181,28.7279,29.3545,28.3871
P18124,RPL7,60S ribosomal protein L7,35.083,35.0473,34.7654,34.591,34.74,34.8866
P18206,VCL,Vinculin,31.9145,32.185,32.3532,30.0516,30.9294,31.038
P18283,GPX2,Glutathione peroxidase 2,28.6861,28.8902,28.8087,24.3943,24.3906,24.1908
P18510,IL1RN,Interleukin-1 receptor antagonist protein,26.0983,26.8751,26.5673,24.7117,25.3772,23.4026
P18583,SON,Protein SON,33.3975,33.3826,33.4152,33.1033,33.3359,33.3732
P18615,NELFE,Negative elongation factor E,31.9465,32.1048,32.0956,31.1382,31.1831,31.5398
P18621,RPL17,60S ribosomal protein L17,36.7194,36.8131,36.7284,36.1096,36.1406,36.2782
P18669,PGAM1,Phosphoglycerate mutase 1,37.1038,37.237,37.3548,34.4605,34.5613,34.5779
P18754,RCC1,Regulator of chromosome condensation,33.7754,34.2617,33.9753,34.1781,34.3382,34.4416
P18827,SDC1,Syndecan-1,30.6086,30.3154,30.2787,30.6306,30.98,31.2387
P18846,ATF1,Cyclic AMP-dependent transcription factor ATF-1,28.8964,28.6047,28.4425,28.0107,28.2761,28.0479
P18858,LIG1,DNA ligase 1,28.2604,26.0687,25.8391,25.093,25.9221,26.0199
P18859,ATP5J,"ATP synthase-coupling factor 6, mitochondrial",32.6814,32.4475,32.2184,32.3399,32.6679,32.7047
P18887,XRCC1,DNA repair protein XRCC1,31.6259,31.7092,31.4591,31.2396,31.5125,31.7253
P19022,CDH2,Cadherin-2,31.1021,30.9469,31.1755,32.1868,32.2288,32.2993
P19174,PLCG1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1",30.1466,30.182,30.1926,29.119,28.8422,29.304
P19338,NCL,Nucleolin,37.542,37.4512,37.5816,37.3123,37.4919,37.5499
P19387,POLR2C,DNA-directed RNA polymerase II subunit RPB3,28.99,28.9554,28.8096,29.8085,30.2718,29.9486
P19388,POLR2E,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",28.609,28.7806,29.1102,29.8277,30.2189,29.9144
P19404,NDUFV2,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",32.5042,32.8527,32.574,32.7985,32.7934,32.7707
P19438,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,24.6879,21.3821,25.6807,24.1054,25.8376,25.6103
P19440,GGT1,Glutathione hydrolase 1 proenzyme,31.5503,31.8403,31.6027,30.8121,31.4328,31.6043
P19447,ERCC3,General transcription and DNA repair factor IIH helicase subunit XPB,26.3073,26.8407,26.8514,27.1314,26.7012,26.9282
P19525,EIF2AK2,"Interferon-induced, double-stranded RNA-activated protein kinase",29.1828,29.1604,29.1041,26.9029,27.753,27.2738
P19532,TFE3,Transcription factor E3,23.9023,24.2863,25.1936,24.0804,25.2922,25.5755
P19623,SRM,Spermidine synthase,31.0993,31.2165,31.4384,28.2058,28.1573,27.5202
P19634,SLC9A1,Sodium/hydrogen exchanger 1,25.4912,24.9517,25.8657,26.8323,27.61,27.4634
P19652,ORM2,Alpha-1-acid glycoprotein 2,24.5698,23.3611,24.4993,26.1332,26.4412,24.9184
P19784,CSNK2A2,Casein kinase II subunit alpha',29.6609,29.6816,30.1981,30.2989,30.6497,29.9856
P19823,ITIH2,Inter-alpha-trypsin inhibitor heavy chain H2,31.9604,31.7294,31.8245,32.3908,32.7542,32.2219
P19838,NFKB1,Nuclear factor NF-kappa-B p105 subunit,27.9504,27.7176,27.954,26.1723,24.3009,25.6067
P19883,FST,Follistatin,26.969,27.9173,27.5893,28.6024,29.2521,29.5892
P19971,TYMP,Thymidine phosphorylase,27.5924,29.3446,29.2654,25.1726,25.5284,28.5782
P20020,ATP2B1,Plasma membrane calcium-transporting ATPase 1,31.9568,31.9775,31.7717,31.971,32.3628,32.2384
P20042,EIF2S2,Eukaryotic translation initiation factor 2 subunit 2,32.3875,32.4016,32.2306,31.0516,31.3494,31.5158
P20073,ANXA7,Annexin A7,30.629,31.0504,31.0168,26.3456,27.1035,24.3857
P20226,TBP,TATA-box-binding protein,25.8794,25.5359,26.2307,24.6442,26.5149,27.161
P20248,CCNA2,Cyclin-A2,27.6421,27.2845,27.0907,27.3185,26.5235,27.3008
P20290,BTF3,Transcription factor BTF3,33.307,33.2719,33.3218,31.8523,32.0825,31.8939
P20339,RAB5A,Ras-related protein Rab-5A,29.6489,29.2715,29.2429,29.4307,29.2843,29.415
P20340,RAB6A,Ras-related protein Rab-6A,33.8532,33.9834,33.7973,33.2844,33.402,32.8338
P20585,MSH3,DNA mismatch repair protein Msh3,24.8756,24.9136,26.2323,24.0843,26.0553,26.2476
P20618,PSMB1,Proteasome subunit beta type-1,31.7456,31.7589,32.113,31.1065,31.4644,30.9483
P20645,M6PR,Cation-dependent mannose-6-phosphate receptor,25.9465,28.6998,24.6865,29.1319,28.9514,26.2398
P20648,ATP4A,Potassium-transporting ATPase alpha chain 1,26.3559,24.3224,23.8182,25.5197,23.5663,26.756
P20674,COX5A,"Cytochrome c oxidase subunit 5A, mitochondrial",35.4875,35.3439,35.298,35.5357,35.3234,35.6382
P20700,LMNB1,Lamin-B1,35.7833,35.6316,35.6807,35.6985,35.993,35.9018
P20810,CAST,Calpastatin,32.0111,31.9191,32.315,28.0688,29.2472,28.7264
P20823,HNF1A,Hepatocyte nuclear factor 1-alpha,29.1491,29.3018,29.6306,28.5361,29.3197,29.3361
P20827,EFNA1,Ephrin-A1,27.3315,24.9602,27.134,26.087,27.4817,28.2558
P20839,IMPDH1,Inosine-5'-monophosphate dehydrogenase 1,26.4287,25.9829,27.1091,25.6371,24.4784,25.5887
P20933,AGA,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase,25.6103,25.6173,25.3456,26.1849,25.5851,26.1512
P20962,PTMS,Parathymosin,32.0341,31.2066,32.9956,24.769,24.5765,26.7873
P21108,PRPS1L1,Ribose-phosphate pyrophosphokinase 3,29.4934,29.6725,29.7769,29.1497,28.8962,28.5296
P21127,CDK11B,Cyclin-dependent kinase 11B,31.5187,31.419,31.4695,31.3666,31.6878,31.6379
P21281,ATP6V1B2,"V-type proton ATPase subunit B, brain isoform",33.4301,33.4799,33.5646,33.5562,33.5964,33.5979
P21283,ATP6V1C1,V-type proton ATPase subunit C 1,29.6847,29.6314,29.7913,29.4734,29.4767,29.8037
P21291,CSRP1,Cysteine and glycine-rich protein 1,29.6996,30.4422,30.1303,27.2219,27.4231,27.5801
P21333,FLNA,Filamin-A,36.6001,36.7967,36.6406,35.5324,35.4179,35.5673
P21397,MAOA,Amine oxidase [flavin-containing] A,24.9031,23.1172,25.5977,24.2219,24.6203,23.8004
P21399,ACO1,Cytoplasmic aconitate hydratase,31.0044,31.1356,31.0708,27.2798,27.4568,26.8052
P21549,AGXT,Serine--pyruvate aminotransferase,30.922,30.0194,30.4274,28.9907,29.0819,28.2176
P21675,TAF1,Transcription initiation factor TFIID subunit 1,26.2119,26.1359,25.4087,27.952,24.4838,26.6573
P21695,GPD1,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",29.6796,29.6807,29.2962,26.1899,26.886,26.8786
P21741,MDK,Midkine,27.7814,25.9212,28.6043,29.6356,29.6141,29.2987
P21796,VDAC1,Voltage-dependent anion-selective channel protein 1,34.6446,34.5154,34.666,35.0347,35.321,34.9246
P21860,ERBB3,Receptor tyrosine-protein kinase erbB-3,28.7736,28.1369,27.8139,29.7308,29.5296,30.4343
P21912,SDHB,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",32.9042,32.724,32.8371,33.2558,33.3504,33.2325
P21953,BCKDHB,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",25.9373,25.4026,24.4851,26.0179,26.164,25.1609
P21964,COMT,Catechol O-methyltransferase,32.1024,32.1168,31.6502,30.9592,30.746,28.5034
P22033,MUT,"Methylmalonyl-CoA mutase, mitochondrial",28.7843,28.7177,29.9212,29.3678,30.5415,29.7516
P22059,OSBP,Oxysterol-binding protein 1,30.7445,30.9571,30.849,29.8004,30.8334,30.6458
P22087,FBL,rRNA 2'-O-methyltransferase fibrillarin,33.4866,33.5137,33.4186,33.4956,33.7032,33.8041
P22090,RPS4Y1,"40S ribosomal protein S4, Y isoform 1",31.5931,31.7531,31.5783,31.7693,31.9585,31.7469
P22102,GART,Trifunctional purine biosynthetic protein adenosine-3,31.8927,32.9147,32.3256,28.0475,29.2996,28.6295
P22234,PAICS,Multifunctional protein ADE2,34.357,34.6439,34.8027,31.8408,31.9761,31.961
P22303,ACHE,Acetylcholinesterase,27.1845,27.5102,27.5279,24.9209,27.334,26.6437
P22307,SCP2,Non-specific lipid-transfer protein,34.0465,34.0266,34.2214,33.8123,33.7368,33.5977
P22314,UBA1,Ubiquitin-like modifier-activating enzyme 1,33.4252,33.7677,33.7092,30.4784,31.2167,30.3099
P22392,NME2,Nucleoside diphosphate kinase B,35.7254,35.7515,35.7171,33.8285,33.9535,33.6562
P22413,ENPP1,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1,31.7957,31.8809,31.4243,32.3454,32.7506,32.4334
P22455,FGFR4,Fibroblast growth factor receptor 4,28.002,24.4028,28.4433,30.2331,31.2737,30.8467
P22570,FDXR,"NADPH:adrenodoxin oxidoreductase, mitochondrial",34.9804,34.8041,34.9026,35.7019,35.7002,35.6347
P22607,FGFR3,Fibroblast growth factor receptor 3,27.6004,27.7876,27.4621,27.5579,28.387,28.1651
P22626,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,37.6554,37.5101,37.6147,37.3524,37.742,37.7768
P22670,RFX1,MHC class II regulatory factor RFX1,26.6176,27.2262,26.746,27.6532,27.9406,27.4269
P22692,IGFBP4,Insulin-like growth factor-binding protein 4,23.3072,25.561,25.6345,25.8253,24.6891,25.8332
P22695,UQCRC2,"Cytochrome b-c1 complex subunit 2, mitochondrial",34.6915,34.4285,34.6271,35.2772,35.2663,35.0654
P22830,FECH,"Ferrochelatase, mitochondrial",28.6112,28.0287,28.4607,26.7253,28.2294,26.5376
P23025,XPA,DNA repair protein complementing XP-A cells,26.9256,26.139,26.2698,25.4934,25.2583,24.6364
P23141,CES1,Liver carboxylesterase 1,35.8641,35.8622,35.9248,34.0784,33.9502,33.6776
P23142,FBLN1,Fibulin-1,23.9541,24.802,24.4058,25.6114,25.6793,24.1358
P23193,TCEA1,Transcription elongation factor A protein 1,33.6634,33.6277,33.648,30.5472,31.279,31.0496
P23229,ITGA6,Integrin alpha-6,30.3224,30.913,30.4064,31.1195,31.1357,30.6986
P23246,SFPQ,"Splicing factor, proline- and glutamine-rich",36.8183,36.7592,36.8714,36.9182,36.9522,37.0152
P23258,TUBG1,Tubulin gamma-1 chain,29.1046,29.3573,28.5026,28.4296,28.6117,26.8449
P23284,PPIB,Peptidyl-prolyl cis-trans isomerase B,37.0278,36.934,37.1364,37.1876,37.1917,37.0859
P23297,S100A1,Protein S100-A1,27.2475,23.9558,28.451,22.8752,25.0438,24.0594
P23368,ME2,"NAD-dependent malic enzyme, mitochondrial",29.3975,30.2974,29.0891,30.0656,29.6244,29.7681
P23378,GLDC,"Glycine dehydrogenase (decarboxylating), mitochondrial",33.2173,33.2147,33.2409,33.3204,33.6549,33.4397
P23381,WARS,"Tryptophan--tRNA ligase, cytoplasmic",32.3928,32.5416,32.6123,30.234,30.3306,30.1836
P23396,RPS3,40S ribosomal protein S3,34.6713,34.5176,34.4004,34.7372,34.8448,34.7048
P23434,GCSH,"Glycine cleavage system H protein, mitochondrial",30.8186,30.5585,30.5516,30.6189,31.1497,30.2049
P23458,JAK1,Tyrosine-protein kinase JAK1,26.661,25.6127,24.4913,25.9637,26.2423,25.872
P23511,NFYA,Nuclear transcription factor Y subunit alpha,29.8089,30.0294,29.858,24.4374,29.3014,29.1031
P23526,AHCY,Adenosylhomocysteinase,34.9584,35.036,35.0598,32.6491,32.8548,32.4577
P23527,HIST1H2BO,Histone H2B type 1-O,29.7466,30.004,29.7053,27.4719,28.2037,29.2134
P23528,CFL1,Cofilin-1,36.8953,37.0193,37.1012,35.1163,35.4215,35.2631
P23588,EIF4B,Eukaryotic translation initiation factor 4B,34.7896,34.7806,35.0588,33.3124,33.6465,33.6546
P23634,ATP2B4,Plasma membrane calcium-transporting ATPase 4,27.6141,26.752,26.8831,26.1564,26.7105,26.6243
P23677,ITPKA,Inositol-trisphosphate 3-kinase A,27.2468,28.4606,27.5832,27.2203,27.8201,27.4172
P23786,CPT2,"Carnitine O-palmitoyltransferase 2, mitochondrial",29.4767,29.0092,29.554,29.5179,29.3706,29.5984
P23919,DTYMK,Thymidylate kinase,32.6901,32.3928,32.7372,32.0792,31.5603,31.922
P23921,RRM1,Ribonucleoside-diphosphate reductase large subunit,26.3123,26.1164,26.3975,25.2396,26.9985,24.7098
P24311,COX7B,"Cytochrome c oxidase subunit 7B, mitochondrial",29.5692,29.2286,29.1589,28.1757,29.6319,29.6767
P24534,EEF1B2,Elongation factor 1-beta,35.0965,35.0488,35.0193,33.2845,34.0369,33.8563
P24539,ATP5F1,"ATP synthase F(0) complex subunit B1, mitochondrial",33.9399,33.7608,34.0043,34.0856,34.178,34.025
P24666,ACP1,Low molecular weight phosphotyrosine protein phosphatase,32.3793,32.4588,32.4331,27.4493,29.4075,30.1266
P24752,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial",35.8069,35.7339,35.8069,36.5536,36.4315,36.45
P24941,CDK2,Cyclin-dependent kinase 2,29.2487,29.2571,29.4487,28.6125,28.6902,28.7765
P25205,MCM3,DNA replication licensing factor MCM3,30.878,30.7605,30.6247,29.3243,30.4353,30.2988
P25208,NFYB,Nuclear transcription factor Y subunit beta,29.6157,29.5439,29.8202,26.9182,27.5213,24.9411
P25311,AZGP1,Zinc-alpha-2-glycoprotein,27.626,27.0117,26.6908,27.4115,26.2212,27.7788
P25325,MPST,3-mercaptopyruvate sulfurtransferase,34.6817,34.9609,35.0363,33.8355,34.2591,33.6526
P25398,RPS12,40S ribosomal protein S12,33.8342,33.7299,34.4488,33.8321,33.8415,34.3949
P25440,BRD2,Bromodomain-containing protein 2,29.4895,29.575,29.0831,30.2808,29.3711,30.1697
P25445,FAS,Tumor necrosis factor receptor superfamily member 6,27.7754,27.615,26.3493,28.007,28.6534,28.1903
P25490,YY1,Transcriptional repressor protein YY1,31.8498,31.6169,31.5692,30.8981,31.2361,31.1331
P25685,DNAJB1,DnaJ homolog subfamily B member 1,33.3717,33.5604,33.6263,31.4755,31.3403,30.9931
P25686,DNAJB2,DnaJ homolog subfamily B member 2,31.2405,31.1202,31.4124,31.5911,31.4216,24.9387
P25705,ATP5F1A,"ATP synthase subunit alpha, mitochondrial",37.055,37.0283,37.1372,37.2862,37.373,37.3901
P25786,PSMA1,Proteasome subunit alpha type-1,34.1931,34.2449,34.4486,33.1374,33.2901,33.1883
P25787,PSMA2,Proteasome subunit alpha type-2,33.8321,33.7332,33.9252,32.5468,32.9261,32.6301
P25788,PSMA3,Proteasome subunit alpha type-3,31.9694,31.8685,32.1998,31.0976,31.6605,31.0498
P25789,PSMA4,Proteasome subunit alpha type-4,30.9172,28.4495,30.8561,27.7973,29.8765,29.5102
P25942,CD40,Tumor necrosis factor receptor superfamily member 5,27.3834,27.297,27.2093,26.2189,27.2073,26.4804
P26196,DDX6,Probable ATP-dependent RNA helicase DDX6,30.3099,29.8927,30.3535,30.0396,30.441,30.0042
P26358,DNMT1,DNA (cytosine-5)-methyltransferase 1,30.9049,31.0183,30.8481,30.671,31.2604,31.145
P26368,U2AF2,Splicing factor U2AF 65 kDa subunit,33.2198,32.9077,32.5774,33.3535,33.495,33.4006
P26373,RPL13,60S ribosomal protein L13,37.1023,36.9412,36.956,36.4727,36.4285,36.5796
P26572,MGAT1,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",28.3994,27.2885,28.634,28.9262,29.7136,28.8561
P26583,HMGB2,High mobility group protein B2,35.2579,35.3245,35.3484,33.0197,33.2229,33.3783
P26599,PTBP1,Polypyrimidine tract-binding protein 1,35.9631,35.8896,35.9864,35.8027,36.0409,35.8902
P26639,TARS,"Threonine--tRNA ligase, cytoplasmic",32.2596,32.1297,32.4674,29.1389,29.8391,29.3972
P26640,VARS,Valine--tRNA ligase,34.1184,34.4787,34.2326,33.4691,33.6915,33.6041
P26641,EEF1G,Elongation factor 1-gamma,35.2304,35.274,35.4581,34.2566,34.4665,34.1905
P26885,FKBP2,Peptidyl-prolyl cis-trans isomerase FKBP2,31.7539,31.8531,31.8457,32.1983,31.9386,32.1078
P27105,STOM,Erythrocyte band 7 integral membrane protein,30.633,30.6409,30.5579,32.1769,32.716,32.818
P27144,AK4,"Adenylate kinase 4, mitochondrial",35.7643,35.7535,35.7264,35.5429,35.454,35.6117
P27338,MAOB,Amine oxidase [flavin-containing] B,29.1992,29.5433,29.1665,29.9223,30.0985,29.6596
P27348,YWHAQ,14-3-3 protein theta,35.1108,35.139,35.1491,32.8388,32.8735,32.8282
P27361,MAPK3,Mitogen-activated protein kinase 3,30.0165,30.0222,30.3633,26.5775,28.1624,25.9965
P27487,DPP4,Dipeptidyl peptidase 4,27.8989,27.8365,26.7874,24.8128,24.2177,24.2945
P27635,RPL10,60S ribosomal protein L10,35.7537,35.8009,35.5316,34.791,35.2382,35.1744
P27694,RPA1,Replication protein A 70 kDa DNA-binding subunit,28.5933,28.9018,29.2144,25.71,27.6328,26.7092
P27695,APEX1,DNA-(apurinic or apyrimidinic site) lyase,33.8491,34.2045,34.2534,32.2519,32.5529,32.5568
P27708,CAD,CAD protein,29.3381,29.2785,29.5129,28.678,25.8614,28.8669
P27797,CALR,Calreticulin,35.0954,35.0799,35.1452,35.3385,35.4835,35.278
P27816,MAP4,Microtubule-associated protein 4,34.9648,35.0459,35.0739,32.827,33.2446,33.2058
P27824,CANX,Calnexin,35.4297,35.3706,35.3394,35.6732,35.7434,35.6746
P28062,PSMB8,Proteasome subunit beta type-8,27.217,26.0688,25.9515,24.7455,25.5833,27.3278
P28066,PSMA5,Proteasome subunit alpha type-5,32.7998,32.8274,32.8108,31.584,31.7623,31.6346
P28070,PSMB4,Proteasome subunit beta type-4,31.7384,31.7079,32.1044,30.8197,31.1438,30.6164
P28072,PSMB6,Proteasome subunit beta type-6,31.4853,31.9023,31.6595,30.2429,30.9831,30.3942
P28074,PSMB5,Proteasome subunit beta type-5,30.1716,30.0736,30.0986,29.5802,30.0947,29.3353
P28288,ABCD3,ATP-binding cassette sub-family D member 3,29.9212,29.7394,29.0776,30.1078,29.9996,29.7179
P28290,SSFA2,Sperm-specific antigen 2,28.4919,28.1143,27.4557,26.1989,28.5188,26.7479
P28300,LOX,Protein-lysine 6-oxidase,30.2488,31.5126,30.1692,29.1307,28.54,29.7552
P28331,NDUFS1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",33.2967,33.1301,33.0784,33.4289,33.6735,33.3439
P28332,ADH6,Alcohol dehydrogenase 6,27.8855,28.0234,27.0901,25.9205,26.8756,25.7665
P28340,POLD1,DNA polymerase delta catalytic subunit,27.138,27.365,26.0723,23.7033,25.5803,24.3273
P28347,TEAD1,Transcriptional enhancer factor TEF-1,27.8913,27.5347,28.127,26.6171,27.4861,27.3233
P28370,SMARCA1,Probable global transcription activator SNF2L1,29.9952,29.2522,29.2141,30.3364,30.459,30.3084
