ProteinID,Gene,Proximity_Shift_Score,p.value,adj.p.value,significance,significance_raw
Q8NC60,NOA1,-1.433751096,0.030938589,0.207977886,Not Significant,Downregulated Proximity
Q9Y5Q8,GTF3C5,1.289289285,0.031320482,0.209331827,Not Significant,Upregulated Proximity
Q8WWB7,GLMP,4.309425381,0.031419627,0.209332025,Not Significant,Upregulated Proximity
P27797,CALR,1.166619095,0.031661934,0.210283035,Not Significant,Upregulated Proximity
P06748,NPM1,-1.902126995,0.03178776,0.210453656,Not Significant,Downregulated Proximity
Q92820,GGH,5.390365881,0.031986564,0.210453656,Not Significant,Upregulated Proximity
Q9NWT8,AURKAIP1,-1.534014257,0.031981546,0.210453656,Not Significant,Downregulated Proximity
P11169,SLC2A3,1.941767964,0.032243677,0.210831719,Not Significant,Upregulated Proximity
Q8IY81,FTSJ3,-0.952341763,0.032206665,0.210831719,Not Significant,Not Significant
P10646,TFPI,0.985536808,0.032725534,0.212665621,Not Significant,Not Significant
Q9UPN6,SCAF8,1.698284504,0.032654192,0.212665621,Not Significant,Upregulated Proximity
Q15118,PDK1,2.070849935,0.033052595,0.213910962,Not Significant,Upregulated Proximity
Q9H0S4,DDX47,3.787560401,0.033119737,0.213910962,Not Significant,Upregulated Proximity
P02675,FGB,2.726516216,0.033515453,0.215806817,Not Significant,Upregulated Proximity
P13473,LAMP2,5.796354249,0.033632147,0.215899983,Not Significant,Upregulated Proximity
Q14847,LASP1,0.904071841,0.033958501,0.217334408,Not Significant,Not Significant
P67870,CSNK2B,2.216255675,0.034105423,0.21761527,Not Significant,Upregulated Proximity
P55157,MTTP,0.976020392,0.034445317,0.219122018,Not Significant,Not Significant
P02786,TFRC,0.58760298,0.034930984,0.221544261,Not Significant,Not Significant
Q9UIJ7,AK3,1.426176168,0.035235584,0.222807047,Not Significant,Upregulated Proximity
Q96AG4,LRRC59,1.174597239,0.035372386,0.223004417,Not Significant,Upregulated Proximity
P35611,ADD1,0.631587063,0.03560556,0.223806378,Not Significant,Not Significant
P07225,PROS1,4.883080813,0.036708173,0.224102141,Not Significant,Upregulated Proximity
P09668,CTSH,5.724673237,0.03664229,0.224102141,Not Significant,Upregulated Proximity
P10412,HIST1H1E,-2.19085686,0.036403185,0.224102141,Not Significant,Downregulated Proximity
P63092,GNAS,-1.493006523,0.036713703,0.224102141,Not Significant,Downregulated Proximity
P82979,SARNP,-0.633242425,0.036309506,0.224102141,Not Significant,Not Significant
Q13523,PRPF4B,-0.61673559,0.036685454,0.224102141,Not Significant,Not Significant
Q13867,BLMH,1.835400397,0.035991096,0.224102141,Not Significant,Upregulated Proximity
Q92504,SLC39A7,1.292688384,0.036434474,0.224102141,Not Significant,Upregulated Proximity
Q9UHB6,LIMA1,3.712641643,0.035816382,0.224102141,Not Significant,Upregulated Proximity
Q9UK23,NAGPA,4.288125806,0.036336245,0.224102141,Not Significant,Upregulated Proximity
O76094,SRP72,1.853030553,0.036980611,0.225080839,Not Significant,Upregulated Proximity
P53985,SLC16A1,1.38224704,0.037123986,0.22530419,Not Significant,Upregulated Proximity
P48634,PRRC2A,-4.172382476,0.037343996,0.225990028,Not Significant,Downregulated Proximity
P08708,RPS17,-0.5657285,0.037816537,0.228195792,Not Significant,Not Significant
P16219,ACADS,2.296970272,0.038424453,0.230546719,Not Significant,Upregulated Proximity
P21333,FLNA,0.83258544,0.038383082,0.230546719,Not Significant,Not Significant
P07737,PFN1,-5.531374084,0.039038175,0.23224965,Not Significant,Downregulated Proximity
P51687,SUOX,2.601074706,0.038948506,0.23224965,Not Significant,Upregulated Proximity
Q13155,AIMP2,0.670954232,0.038859724,0.23224965,Not Significant,Not Significant
P80303,NUCB2,4.489900865,0.039266947,0.232954472,Not Significant,Upregulated Proximity
Q9Y5J7,TIMM9,3.222634486,0.039713341,0.234942793,Not Significant,Upregulated Proximity
O15160,POLR1C,1.892062854,0.040341413,0.235071385,Not Significant,Upregulated Proximity
P07996,THBS1,1.636502489,0.040074758,0.235071385,Not Significant,Upregulated Proximity
Q16637,SMN1,-6.788841477,0.040402894,0.235071385,Not Significant,Downregulated Proximity
Q96RQ3,MCCC1,-0.812979167,0.039859612,0.235071385,Not Significant,Not Significant
Q99747,NAPG,1.467163464,0.040401185,0.235071385,Not Significant,Upregulated Proximity
Q9Y3B8,REXO2,-0.634614649,0.040326017,0.235071385,Not Significant,Not Significant
O14638,ENPP3,2.761674758,0.041051571,0.23522577,Not Significant,Upregulated Proximity
O95810,CAVIN2,6.276150204,0.040585998,0.23522577,Not Significant,Upregulated Proximity
P27338,MAOB,-1.132764636,0.040713796,0.23522577,Not Significant,Downregulated Proximity
P46777,RPL5,-0.831751721,0.04120906,0.23522577,Not Significant,Not Significant
P63165,SUMO1,-0.655321166,0.041150106,0.23522577,Not Significant,Not Significant
Q15691,MAPRE1,-3.150149097,0.04111161,0.23522577,Not Significant,Downregulated Proximity
Q9Y6E2,BZW2,-3.02230065,0.041188343,0.23522577,Not Significant,Downregulated Proximity
O14828,SCAMP3,0.989009646,0.042180245,0.236081593,Not Significant,Not Significant
O43719,HTATSF1,-0.538139861,0.042163722,0.236081593,Not Significant,Not Significant
P13489,RNH1,-1.046666435,0.042330122,0.236081593,Not Significant,Downregulated Proximity
P46977,STT3A,0.588132497,0.042442634,0.236081593,Not Significant,Not Significant
P55795,HNRNPH2,-0.305452578,0.042349868,0.236081593,Not Significant,Not Significant
P62072,TIMM10,1.702349598,0.042111776,0.236081593,Not Significant,Upregulated Proximity
Q14103,HNRNPD,-0.505744483,0.042476802,0.236081593,Not Significant,Not Significant
Q15287,RNPS1,-0.860996846,0.041785184,0.236081593,Not Significant,Not Significant
Q7L2H7,EIF3M,2.67868057,0.041990028,0.236081593,Not Significant,Upregulated Proximity
Q96EY1,DNAJA3,1.58519362,0.042408199,0.236081593,Not Significant,Upregulated Proximity
P20645,M6PR,1.397863765,0.042791242,0.237204994,Not Significant,Upregulated Proximity
P08865,RPSA,0.630931667,0.043440016,0.240065263,Not Significant,Not Significant
P14543,NID1,2.027514476,0.043761897,0.240065263,Not Significant,Upregulated Proximity
P51572,BCAP31,2.517338947,0.043651259,0.240065263,Not Significant,Upregulated Proximity
Q9Y490,TLN1,1.329732475,0.043583831,0.240065263,Not Significant,Upregulated Proximity
P04844,RPN2,4.354558293,0.04550756,0.245914639,Not Significant,Upregulated Proximity
P21549,AGXT,1.62623149,0.045474046,0.245914639,Not Significant,Upregulated Proximity
P30740,SERPINB1,3.741547298,0.045203287,0.245914639,Not Significant,Upregulated Proximity
Q07666,KHDRBS1,-0.380412119,0.045389717,0.245914639,Not Significant,Not Significant
Q9BTZ2,DHRS4,-5.231535268,0.045526811,0.245914639,Not Significant,Downregulated Proximity
Q9NYR9,NKIRAS2,-0.807947373,0.045079652,0.245914639,Not Significant,Not Significant
P04003,C4BPA,4.503475889,0.046346074,0.24843378,Not Significant,Upregulated Proximity
P78347,GTF2I,0.492035203,0.046236522,0.24843378,Not Significant,Not Significant
Q9P0M9,MRPL27,3.80499995,0.046176766,0.24843378,Not Significant,Upregulated Proximity
Q9BXY0,MAK16,-0.81884672,0.047237664,0.252572014,Not Significant,Not Significant
O14964,HGS,0.526831856,0.047401301,0.252806941,Not Significant,Not Significant
Q9HCN8,SDF2L1,3.020528786,0.047653531,0.253511982,Not Significant,Upregulated Proximity
P16930,FAH,-2.529673039,0.048401712,0.256845265,Not Significant,Downregulated Proximity
Q8IYB3,SRRM1,-0.5916654,0.048946791,0.257794569,Not Significant,Not Significant
Q9BT09,CNPY3,2.867027083,0.048930783,0.257794569,Not Significant,Upregulated Proximity
Q9NUP9,LIN7C,2.462497643,0.048748519,0.257794569,Not Significant,Upregulated Proximity
O60547,GMDS,0.849425263,0.049400541,0.258893157,Not Significant,Not Significant
P08621,SNRNP70,-0.900220999,0.049573157,0.259154722,Not Significant,Not Significant
O14763,TNFRSF10B,-13.76860832,0.050494927,0.259477579,Not Significant,Not Significant
O43813,LANCL1,7.792966215,0.04978763,0.259477579,Not Significant,Upregulated Proximity
O75475,PSIP1,1.474499997,0.050115268,0.259477579,Not Significant,Not Significant
O95819,MAP4K4,2.541500884,0.050437215,0.259477579,Not Significant,Not Significant
P61201,COPS2,-1.877256125,0.050463251,0.259477579,Not Significant,Not Significant
Q08380,LGALS3BP,2.943790429,0.050406538,0.259477579,Not Significant,Not Significant
Q9BY67,CADM1,2.292632358,0.050265011,0.259477579,Not Significant,Not Significant
Q96DZ1,ERLEC1,4.676764243,0.051039739,0.261163031,Not Significant,Not Significant
Q96I24,FUBP3,1.984032458,0.051070233,0.261163031,Not Significant,Not Significant
P35606,COPB2,1.228133693,0.051569414,0.263078751,Not Significant,Not Significant
Q9Y261,FOXA2,1.152865337,0.051781087,0.26352206,Not Significant,Not Significant
Q15084,PDIA6,0.54553457,0.051937007,0.263680188,Not Significant,Not Significant
P61626,LYZ,7.127277771,0.052701148,0.265623981,Not Significant,Not Significant
P62995,TRA2B,-0.303820466,0.052822951,0.265623981,Not Significant,Not Significant
Q8WUB8,PHF10,-1.87075278,0.052785747,0.265623981,Not Significant,Not Significant
Q9NYJ1,COA4,1.701405908,0.05274081,0.265623981,Not Significant,Not Significant
Q13576,IQGAP2,0.940668737,0.053308974,0.267431245,Not Significant,Not Significant
P05026,ATP1B1,1.22569937,0.053666701,0.267808141,Not Significant,Not Significant
P25705,ATP5F1A,0.45854448,0.053668385,0.267808141,Not Significant,Not Significant
Q96GQ7,DDX27,1.599159245,0.053764513,0.267808141,Not Significant,Not Significant
P06753,TPM3,1.133060435,0.053933071,0.26801564,Not Significant,Not Significant
P36955,SERPINF1,3.065673835,0.054314663,0.268799572,Not Significant,Not Significant
Q8N6T3,ARFGAP1,-2.340639421,0.054345368,0.268799572,Not Significant,Not Significant
Q15046,KARS,0.986867075,0.054475222,0.268812311,Not Significant,Not Significant
O43290,SART1,-2.009698959,0.054689563,0.269240926,Not Significant,Not Significant
P07858,CTSB,4.70786418,0.055030058,0.27028717,Not Significant,Not Significant
P01023,A2M,1.086374988,0.056107893,0.274854038,Not Significant,Not Significant
Q9H3P7,ACBD3,1.943462632,0.056220144,0.274854038,Not Significant,Not Significant
O60341,KDM1A,1.399512009,0.057161616,0.275191459,Not Significant,Not Significant
O94855,SEC24D,-1.445171947,0.05774685,0.275191459,Not Significant,Not Significant
P0C0S5,H2AFZ,1.999683497,0.056484408,0.275191459,Not Significant,Not Significant
P14618,PKM,-1.717348523,0.05746805,0.275191459,Not Significant,Not Significant
P25325,MPST,0.462052438,0.057834029,0.275191459,Not Significant,Not Significant
P39023,RPL3,-0.729747897,0.057658114,0.275191459,Not Significant,Not Significant
P46019,PHKA2,1.868725628,0.057703731,0.275191459,Not Significant,Not Significant
Q15061,WDR43,1.063703374,0.056767781,0.275191459,Not Significant,Not Significant
Q8N1F7,NUP93,2.006510222,0.057943261,0.275191459,Not Significant,Not Significant
Q8NFH3,NUP43,2.452747453,0.057305714,0.275191459,Not Significant,Not Significant
Q9H479,FN3K,5.562764036,0.057983049,0.275191459,Not Significant,Not Significant
Q9NP81,SARS2,4.140376907,0.057371426,0.275191459,Not Significant,Not Significant
Q9Y5J1,UTP18,-0.535244604,0.05785216,0.275191459,Not Significant,Not Significant
O15260,SURF4,1.164844784,0.058244003,0.275810165,Not Significant,Not Significant
P49721,PSMB2,0.867897781,0.058467824,0.275822996,Not Significant,Not Significant
Q96PU8,QKI,-1.619027623,0.058507908,0.275822996,Not Significant,Not Significant
O75494,SRSF10,-1.130787409,0.059695815,0.280258022,Not Significant,Not Significant
P19440,GGT1,3.549172448,0.059714067,0.280258022,Not Significant,Not Significant
O00560,SDCBP,1.707068931,0.059919415,0.280598238,Not Significant,Not Significant
Q99470,SDF2,2.979119873,0.060321771,0.281804461,Not Significant,Not Significant
Q9UQE7,SMC3,1.489852411,0.060443855,0.281804461,Not Significant,Not Significant
P62857,RPS28,-0.742610702,0.061582489,0.283359949,Not Significant,Not Significant
Q13217,DNAJC3,2.130329882,0.061268156,0.283359949,Not Significant,Not Significant
Q9H4A6,GOLPH3,2.595786589,0.060934854,0.283359949,Not Significant,Not Significant
Q9NP61,ARFGAP3,13.44424223,0.061499899,0.283359949,Not Significant,Not Significant
Q9UNE7,STUB1,2.574821997,0.061428809,0.283359949,Not Significant,Not Significant
Q9Y512,SAMM50,0.48648097,0.06115942,0.283359949,Not Significant,Not Significant
P13667,PDIA4,0.42363762,0.062001921,0.284669689,Not Significant,Not Significant
O95292,VAPB,0.757071956,0.062478857,0.286237193,Not Significant,Not Significant
Q96DB5,RMDN1,6.53761003,0.063400544,0.289205072,Not Significant,Not Significant
Q9NVI7,ATAD3A,3.133080692,0.0632699,0.289205072,Not Significant,Not Significant
Q5T2W1,PDZK1,2.107728172,0.06385249,0.29001389,Not Significant,Not Significant
Q9UHD8,9-Sep,2.499799477,0.063800208,0.29001389,Not Significant,Not Significant
P34932,HSPA4,-0.71342862,0.064591718,0.29228858,Not Significant,Not Significant
Q7L1Q6,BZW1,1.138377739,0.064630098,0.29228858,Not Significant,Not Significant
Q7KZF4,SND1,0.569837598,0.066127675,0.298422327,Not Significant,Not Significant
P05141,SLC25A5,1.994304945,0.067524828,0.304071919,Not Significant,Not Significant
P18124,RPL7,-0.580300486,0.06766752,0.304071919,Not Significant,Not Significant
P12236,SLC25A6,1.405263816,0.068136684,0.305530097,Not Significant,Not Significant
Q9BTL3,RAMMET,-1.335842459,0.068446584,0.306269463,Not Significant,Not Significant
O00217,NDUFS8,0.837486226,0.06929966,0.306998617,Not Significant,Not Significant
P11940,PABPC1,-0.106138391,0.069336335,0.306998617,Not Significant,Not Significant
P55060,CSE1L,-3.859797811,0.069133645,0.306998617,Not Significant,Not Significant
Q9BSE5,AGMAT,-0.462015493,0.069291593,0.306998617,Not Significant,Not Significant
Q9P2R7,SUCLA2,1.059027248,0.068934783,0.306998617,Not Significant,Not Significant
Q15125,EBP,1.919363249,0.069490873,0.307039169,Not Significant,Not Significant
P48444,ARCN1,1.202741132,0.06977098,0.307127661,Not Significant,Not Significant
P68400,CSNK2A1,0.908480968,0.069801741,0.307127661,Not Significant,Not Significant
P11717,IGF2R,2.200866466,0.071225463,0.308637444,Not Significant,Not Significant
P12277,CKB,-8.075807678,0.071606225,0.308637444,Not Significant,Not Significant
P26368,U2AF2,0.492811766,0.071065809,0.308637444,Not Significant,Not Significant
P27361,MAPK3,3.097594181,0.070738623,0.308637444,Not Significant,Not Significant
P62308,SNRPG,3.056502966,0.071320121,0.308637444,Not Significant,Not Significant
Q07020,RPL18,-0.916511181,0.070956133,0.308637444,Not Significant,Not Significant
Q16698,DECR1,-0.587222543,0.070370818,0.308637444,Not Significant,Not Significant
Q8NBZ7,UXS1,1.624891664,0.071130212,0.308637444,Not Significant,Not Significant
Q9H0E2,TOLLIP,1.152265889,0.071195363,0.308637444,Not Significant,Not Significant
Q9NZ08,ERAP1,2.43217471,0.071476189,0.308637444,Not Significant,Not Significant
P12956,XRCC6,-0.963289778,0.072719768,0.312798678,Not Significant,Not Significant
P28838,LAP3,-1.676216506,0.073032352,0.31286882,Not Significant,Not Significant
Q10567,AP1B1,1.358869717,0.072986354,0.31286882,Not Significant,Not Significant
Q96PY5,FMNL2,0.864446848,0.073655097,0.314897903,Not Significant,Not Significant
P16383,GCFC2,-1.418295768,0.073835446,0.315031236,Not Significant,Not Significant
P08581,MET,2.459397329,0.074308307,0.315138846,Not Significant,Not Significant
P51858,HDGF,-7.067297251,0.074011673,0.315138846,Not Significant,Not Significant
Q96HE7,ERO1A,0.63689687,0.074165808,0.315138846,Not Significant,Not Significant
Q96AY3,FKBP10,1.145819147,0.074740022,0.315694502,Not Significant,Not Significant
Q99460,PSMD1,0.311151436,0.074644022,0.315694502,Not Significant,Not Significant
Q9NR30,DDX21,1.307820718,0.074887758,0.315694502,Not Significant,Not Significant
O43175,PHGDH,-6.012530779,0.075741282,0.315854423,Not Significant,Not Significant
P11413,G6PD,0.888968469,0.075663545,0.315854423,Not Significant,Not Significant
P61026,RAB10,1.442995614,0.075540374,0.315854423,Not Significant,Not Significant
Q6P5W5,SLC39A4,2.779401033,0.075195669,0.315854423,Not Significant,Not Significant
Q99735,MGST2,0.793089185,0.075743278,0.315854423,Not Significant,Not Significant
Q9BTV4,TMEM43,2.197935635,0.075823008,0.315854423,Not Significant,Not Significant
Q9BYN8,MRPS26,3.105221603,0.07658975,0.318420377,Not Significant,Not Significant
Q9BWF3,RBM4,1.339840865,0.077003757,0.319512642,Not Significant,Not Significant
O15031,PLXNB2,3.975683107,0.077229999,0.319811551,Not Significant,Not Significant
Q9H936,SLC25A22,2.217843762,0.077378647,0.319811551,Not Significant,Not Significant
Q9BQP7,MGME1,12.65652283,0.07764842,0.320299732,Not Significant,Not Significant
Q86SQ4,ADGRG6,1.171772297,0.077981457,0.321046467,Not Significant,Not Significant
P62314,SNRPD1,2.086707004,0.078648185,0.323161413,Not Significant,Not Significant
P21796,VDAC1,1.417835149,0.079256154,0.323577092,Not Significant,Not Significant
Q16186,ADRM1,-1.077251216,0.079264913,0.323577092,Not Significant,Not Significant
Q6P996,PDXDC1,1.738184863,0.079362185,0.323577092,Not Significant,Not Significant
Q6YP21,KYAT3,-6.559706468,0.07929639,0.323577092,Not Significant,Not Significant
P07942,LAMB1,5.426831422,0.07954498,0.323697489,Not Significant,Not Significant
O00264,PGRMC1,1.382404861,0.079826012,0.324216418,Not Significant,Not Significant
O14802,POLR3A,1.108199693,0.080278203,0.324789336,Not Significant,Not Significant
O60504,SORBS3,1.984865969,0.080722361,0.324789336,Not Significant,Not Significant
O95881,TXNDC12,3.067538861,0.080889768,0.324789336,Not Significant,Not Significant
P51654,GPC3,1.371373836,0.080772957,0.324789336,Not Significant,Not Significant
Q08379,GOLGA2,0.837325398,0.080719563,0.324789336,Not Significant,Not Significant
Q9Y6M9,NDUFB9,3.416987074,0.080826916,0.324789336,Not Significant,Not Significant
P28074,PSMB5,0.905621398,0.082165536,0.328040853,Not Significant,Not Significant
P49959,MRE11,2.386554176,0.0819944,0.328040853,Not Significant,Not Significant
Q969V3,NCLN,2.426236816,0.082063524,0.328040853,Not Significant,Not Significant
O00767,SCD,1.804512782,0.082577491,0.32906351,Not Significant,Not Significant
P07910,HNRNPC,-0.325797362,0.082742713,0.329100959,Not Significant,Not Significant
Q9Y365,STARD10,-9.302272772,0.082969625,0.329383174,Not Significant,Not Significant
Q69YQ0,SPECC1L,1.365803231,0.083934439,0.330827025,Not Significant,Not Significant
Q86XX4,FRAS1,4.520541788,0.083792455,0.330827025,Not Significant,Not Significant
Q96HS1,PGAM5,1.397576965,0.083712655,0.330827025,Not Significant,Not Significant
Q99541,PLIN2,1.118177442,0.083959889,0.330827025,Not Significant,Not Significant
Q14696,MESD,2.342680793,0.08473862,0.333273679,Not Significant,Not Significant
P05089,ARG1,-1.012162581,0.085497281,0.334500734,Not Significant,Not Significant
P23381,WARS,15.62830312,0.08538935,0.334500734,Not Significant,Not Significant
Q07955,SRSF1,-0.888807299,0.085525756,0.334500734,Not Significant,Not Significant
P23284,PPIB,0.309338296,0.085706104,0.334586491,Not Significant,Not Significant
P04406,GAPDH,1.044699765,0.086915269,0.334678955,Not Significant,Not Significant
P20674,COX5A,1.537409897,0.086872822,0.334678955,Not Significant,Not Significant
P52948,NUP98,1.792759577,0.086208052,0.334678955,Not Significant,Not Significant
P55268,LAMB2,-0.640505456,0.085921286,0.334678955,Not Significant,Not Significant
P68133,ACTA1,1.272213007,0.086547582,0.334678955,Not Significant,Not Significant
Q14331,FRG1,1.690906706,0.086919245,0.334678955,Not Significant,Not Significant
Q9H8Y8,GORASP2,1.529779986,0.086997512,0.334678955,Not Significant,Not Significant
Q9Y2W1,THRAP3,-0.207098053,0.086567627,0.334678955,Not Significant,Not Significant
Q07021,C1QBP,-0.527815379,0.087260985,0.334701628,Not Significant,Not Significant
Q10589,BST2,5.016020015,0.087478835,0.334701628,Not Significant,Not Significant
Q96EY8,MMAB,-4.177754539,0.087389184,0.334701628,Not Significant,Not Significant
P12814,ACTN1,0.952767736,0.087686017,0.334887646,Not Significant,Not Significant
O60488,ACSL4,0.276054348,0.088069727,0.335745964,Not Significant,Not Significant
Q96I59,NARS2,2.262175934,0.089378939,0.340123099,Not Significant,Not Significant
P50990,CCT8,0.4067504,0.089660684,0.340581591,Not Significant,Not Significant
P0DN76,U2AF1L5,-0.412735068,0.090491635,0.343120884,Not Significant,Not Significant
P61604,HSPE1,-1.68482927,0.091263496,0.345427426,Not Significant,Not Significant
P53990,IST1,-13.61850657,0.091646702,0.346257308,Not Significant,Not Significant
P31327,CPS1,3.442169434,0.091873868,0.346495732,Not Significant,Not Significant
P46459,NSF,0.411905926,0.092225743,0.347202798,Not Significant,Not Significant
O43795,MYO1B,1.470720386,0.093714593,0.350740881,Not Significant,Not Significant
Q5HYI8,RABL3,5.137756077,0.093543589,0.350740881,Not Significant,Not Significant
Q8N5N7,MRPL50,-1.540691207,0.093706609,0.350740881,Not Significant,Not Significant
Q96AT9,RPE,-3.506877439,0.093829828,0.350740881,Not Significant,Not Significant
P22413,ENPP1,2.251474285,0.094268204,0.351756972,Not Significant,Not Significant
P50454,SERPINH1,2.956144457,0.094938878,0.353026079,Not Significant,Not Significant
Q13884,SNTB1,0.563664506,0.09494262,0.353026079,Not Significant,Not Significant
Q96S59,RANBP9,0.518082543,0.095901287,0.355059059,Not Significant,Not Significant
Q9UBM7,DHCR7,0.69406768,0.095765713,0.355059059,Not Significant,Not Significant
Q9UL25,RAB21,3.333217562,0.095993713,0.355059059,Not Significant,Not Significant
Q9HD26,GOPC,0.977218206,0.096583149,0.356614703,Not Significant,Not Significant
O00151,PDLIM1,-2.559129632,0.097278075,0.356777619,Not Significant,Not Significant
P18077,RPL35A,2.006020178,0.097302987,0.356777619,Not Significant,Not Significant
P36915,GNL1,-1.563094259,0.097005874,0.356777619,Not Significant,Not Significant
Q9ULW3,ABT1,-2.210506707,0.097122526,0.356777619,Not Significant,Not Significant
P42766,RPL35,-1.280606985,0.097496411,0.356867278,Not Significant,Not Significant
Q92900,UPF1,0.991919629,0.098449644,0.359732955,Not Significant,Not Significant
P43155,CRAT,1.736879992,0.100772766,0.367585635,Not Significant,Not Significant
Q99714,HSD17B10,-0.263775212,0.10115987,0.368361457,Not Significant,Not Significant
Q8NHP8,PLBD2,3.518042881,0.101878401,0.370339385,Not Significant,Not Significant
Q8TB61,SLC35B2,-4.797450225,0.102173225,0.37077294,Not Significant,Not Significant
P29401,TKT,-1.464508495,0.102737853,0.371545113,Not Significant,Not Significant
Q99797,MIPEP,2.836009317,0.102679339,0.371545113,Not Significant,Not Significant
P56378,MP68,-1.038858712,0.102945101,0.37165821,Not Significant,Not Significant
P46939,UTRN,0.725474824,0.103392216,0.371923327,Not Significant,Not Significant
Q05682,CALD1,-6.717998237,0.103546835,0.371923327,Not Significant,Not Significant
Q9BQE5,APOL2,-7.306192805,0.103251505,0.371923327,Not Significant,Not Significant
O43252,PAPSS1,-0.943194497,0.104258398,0.373843355,Not Significant,Not Significant
Q96T37,RBM15,1.631967988,0.104705766,0.37481115,Not Significant,Not Significant
O96000,NDUFB10,1.125758371,0.106056596,0.379004283,Not Significant,Not Significant
P21912,SDHB,0.860813913,0.106754218,0.38021064,Not Significant,Not Significant
Q06210,GFPT1,-1.215029551,0.106601633,0.38021064,Not Significant,Not Significant
Q8WXF1,PSPC1,1.762024321,0.107113057,0.380846427,Not Significant,Not Significant
Q9Y606,PUS1,-1.225318747,0.107658279,0.382141656,Not Significant,Not Significant
P46779,RPL28,-0.886852733,0.10805483,0.382905707,Not Significant,Not Significant
O75608,LYPLA1,-7.699637982,0.109842376,0.386001827,Not Significant,Not Significant
P38606,ATP6V1A,1.202008106,0.109224483,0.386001827,Not Significant,Not Significant
Q8WTV0,SCARB1,3.778358542,0.109811803,0.386001827,Not Significant,Not Significant
Q92530,PSMF1,11.66036428,0.109448018,0.386001827,Not Significant,Not Significant
Q9UBX3,SLC25A10,1.9244023,0.109713717,0.386001827,Not Significant,Not Significant
Q92542,NCSTN,9.317041204,0.110061294,0.386128661,Not Significant,Not Significant
O15371,EIF3D,-3.987646285,0.111655623,0.387839025,Not Significant,Not Significant
O43264,ZW10,-1.400171047,0.112066554,0.387839025,Not Significant,Not Significant
P30414,NKTR,1.61160006,0.112128404,0.387839025,Not Significant,Not Significant
P62277,RPS13,0.755178782,0.112045311,0.387839025,Not Significant,Not Significant
P62745,RHOB,2.542544616,0.112385172,0.387839025,Not Significant,Not Significant
P67809,YBX1,-2.18469776,0.11171106,0.387839025,Not Significant,Not Significant
Q01085,TIAL1,-0.676003473,0.112224034,0.387839025,Not Significant,Not Significant
Q06481,APLP2,12.8572106,0.112369127,0.387839025,Not Significant,Not Significant
Q13057,COASY,2.930808888,0.110986115,0.387839025,Not Significant,Not Significant
Q15274,QPRT,0.914607323,0.112272104,0.387839025,Not Significant,Not Significant
Q8IX12,CCAR1,0.678844728,0.112580048,0.38787775,Not Significant,Not Significant
P04264,KRT1,-1.035568978,0.113035979,0.388814312,Not Significant,Not Significant
Q99873,PRMT1,1.346035845,0.113571595,0.390021479,Not Significant,Not Significant
Q9Y2S7,POLDIP2,8.151008462,0.113905123,0.390531849,Not Significant,Not Significant
O95445,APOM,4.86007491,0.114408841,0.391623131,Not Significant,Not Significant
O43567,RNF13,4.714316665,0.114982432,0.392949669,Not Significant,Not Significant
Q6UXH0,ANGPTL8,3.290619517,0.115857683,0.395301175,Not Significant,Not Significant
Q9Y5X1,SNX9,-17.78597699,0.116395025,0.396494021,Not Significant,Not Significant
Q9H488,POFUT1,4.337735273,0.117461219,0.399161324,Not Significant,Not Significant
Q9P0Z9,PIPOX,1.570752213,0.117556034,0.399161324,Not Significant,Not Significant
Q92879,CELF1,2.690043868,0.118463368,0.400952939,Not Significant,Not Significant
Q9UKD2,MRTO4,4.464052913,0.118336911,0.400952939,Not Significant,Not Significant
O15427,SLC16A3,4.145173309,0.119155613,0.402137548,Not Significant,Not Significant
O75822,EIF3J,-1.004981814,0.119955803,0.402137548,Not Significant,Not Significant
P15907,ST6GAL1,1.937556535,0.119916415,0.402137548,Not Significant,Not Significant
Q92499,DDX1,0.576248198,0.119663637,0.402137548,Not Significant,Not Significant
Q9BX66,SORBS1,1.819042145,0.119778291,0.402137548,Not Significant,Not Significant
Q9Y4Z0,LSM4,1.036096221,0.119376849,0.402137548,Not Significant,Not Significant
P40222,TXLNA,2.106859673,0.120916657,0.402422234,Not Significant,Not Significant
P51149,RAB7A,1.234620136,0.120940412,0.402422234,Not Significant,Not Significant
P53597,SUCLG1,-0.194385557,0.120243199,0.402422234,Not Significant,Not Significant
Q27J81,INF2,1.557339051,0.120993427,0.402422234,Not Significant,Not Significant
Q6FI81,CIAPIN1,-10.01626361,0.12087346,0.402422234,Not Significant,Not Significant
O75356,ENTPD5,2.116299839,0.121997329,0.405123206,Not Significant,Not Significant
P09382,LGALS1,-2.430319084,0.122556094,0.405575547,Not Significant,Not Significant
Q15029,EFTUD2,0.266244345,0.122709647,0.405575547,Not Significant,Not Significant
Q6NVY1,HIBCH,0.968572169,0.122620367,0.405575547,Not Significant,Not Significant
O75306,NDUFS2,1.332605716,0.123309709,0.406922039,Not Significant,Not Significant
Q6P587,FAHD1,0.740339737,0.123558276,0.407106208,Not Significant,Not Significant
P06733,ENO1,-2.663140993,0.124593044,0.409223308,Not Significant,Not Significant
P23396,RPS3,0.399075255,0.124403837,0.409223308,Not Significant,Not Significant
Q6P2Q9,PRPF8,-0.957810071,0.124782107,0.409223308,Not Significant,Not Significant
P68104,EEF1A1,1.02694779,0.125048896,0.409462433,Not Significant,Not Significant
